#,DATE,TRADING_CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
1,8/20/2020,1JANATAMF,4.8,4.9,4.7,4.8,4.8,4.8,178,4.062,"852,763"
2,8/19/2020,1JANATAMF,4.9,5,4.7,4.7,4.8,4.7,241,7.355,"1,504,368"
3,8/18/2020,1JANATAMF,4.7,4.9,4.6,4.7,4.7,4.8,252,6.302,"1,323,469"
4,8/17/2020,1JANATAMF,4.6,5,4.6,4.7,4.8,4.6,398,12.461,"2,554,171"
5,8/16/2020,1JANATAMF,4.6,4.6,4.2,4.2,4.6,4.2,304,11.186,"2,481,973"
6,8/13/2020,1JANATAMF,4.2,4.3,4.1,4.1,4.2,4.1,161,4.7,"1,137,185"
7,8/12/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,100,5.501,"1,341,592"
8,8/10/2020,1JANATAMF,4.1,4.3,4.1,4.2,4.1,4.2,225,9.438,"2,285,416"
9,8/9/2020,1JANATAMF,4.3,4.3,4.1,4.1,4.2,4.1,143,5.383,"1,292,933"
10,8/6/2020,1JANATAMF,4.1,4.2,4.1,4.1,4.1,4.1,212,10.883,"2,653,824"
11,8/5/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,76,1.478,"360,439"
12,8/4/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,10,0.062,"15,217"
13,8/3/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,5,0.107,"26,205"
14,7/30/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,6,0.015,"3,737"
15,7/29/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,9,0.007,"1,803"
16,7/28/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,1,0,1
17,7/27/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,3,0.003,775
18,7/26/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,17,0.013,"3,100"
19,7/23/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,3,0.041,"10,053"
20,7/22/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
21,7/21/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,10,0.054,"13,100"
22,7/20/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,2,0.002,460
23,7/19/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,4,0.003,760
24,7/16/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,1,0.002,500
25,7/15/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,7,0.075,"18,276"
26,7/14/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,12,0.014,"3,330"
27,7/13/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,5,0.025,"6,088"
28,7/12/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,7,0.117,"28,600"
29,7/9/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,6,0.123,"30,075"
30,7/8/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,5,0.005,"1,255"
31,7/7/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,6,0.086,"21,005"
32,7/6/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,7,0.273,"66,485"
33,7/5/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,4,0.006,"1,500"
34,7/2/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
35,6/30/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,2,0,15
36,6/29/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
37,6/28/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,5,0.006,"1,401"
38,6/25/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
39,6/24/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
40,6/23/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
41,6/22/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
42,6/21/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
43,6/18/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
44,6/17/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
45,6/16/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
46,6/15/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,2,0.001,178
47,6/14/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,5,0.047,"11,500"
48,6/11/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,6,0.082,"20,000"
49,6/10/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
50,6/9/2020,1JANATAMF,0,0,0,0,4.1,4.1,0,0,0
51,6/8/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,1,0.002,400
52,6/7/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,2,0.004,"1,000"
53,6/4/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,7,0.09,"22,050"
54,6/3/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,1,0.001,200
55,6/2/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,6,0.044,"10,849"
56,6/1/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,3,0.025,"6,219"
57,5/31/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,5,0.183,"44,681"
58,3/25/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,13,0.048,"11,670"
59,3/24/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,13,0.251,"61,301"
60,3/23/2020,1JANATAMF,4.1,4.1,4.1,4.1,4.1,4.1,8,0.468,"114,124"
61,3/22/2020,1JANATAMF,4.1,4.2,4.1,4.1,4.1,4,34,1.344,"327,912"
62,3/19/2020,1JANATAMF,4,4,4,4,4,3.9,1,0.001,200
63,3/18/2020,1JANATAMF,4,4.1,3.9,4.1,3.9,4,53,1.414,"355,041"
64,3/16/2020,1JANATAMF,4,4.3,3.9,4.3,4,4.1,50,2.152,"528,998"
65,3/15/2020,1JANATAMF,4.1,4.2,4.1,4.2,4.1,4.3,67,1.465,"352,319"
66,3/12/2020,1JANATAMF,4.2,4.3,4.2,4.3,4.3,4.3,37,1.134,"264,122"
67,3/11/2020,1JANATAMF,4.3,4.3,4.2,4.2,4.3,4.2,21,0.917,"213,365"
68,3/10/2020,1JANATAMF,4.3,4.3,4.1,4.2,4.2,4.1,26,0.839,"198,856"
69,3/9/2020,1JANATAMF,4,4.4,4,4.4,4.1,4.4,66,1.295,"313,335"
70,3/8/2020,1JANATAMF,4.3,4.5,4.3,4.5,4.4,4.5,36,0.767,"174,260"
71,3/5/2020,1JANATAMF,4.5,4.6,4.4,4.5,4.5,4.5,35,0.265,"59,034"
72,3/4/2020,1JANATAMF,4.6,4.6,4.5,4.6,4.5,4.6,44,1.013,"224,405"
73,3/3/2020,1JANATAMF,4.6,4.6,4.5,4.5,4.6,4.5,16,0.132,"28,875"
74,3/2/2020,1JANATAMF,4.5,4.5,4.4,4.5,4.5,4.4,20,0.365,"81,079"
75,3/1/2020,1JANATAMF,4.5,4.5,4.4,4.5,4.4,4.5,34,0.795,"180,352"
76,2/27/2020,1JANATAMF,4.5,4.6,4.5,4.6,4.5,4.6,74,1.233,"273,178"
77,2/26/2020,1JANATAMF,4.6,4.7,4.6,4.6,4.6,4.6,51,0.715,"155,363"
78,2/25/2020,1JANATAMF,4.7,4.8,4.6,4.7,4.6,4.6,29,1.112,"234,750"
79,2/24/2020,1JANATAMF,4.6,4.7,4.6,4.7,4.6,4.7,42,1.615,"345,685"
80,2/23/2020,1JANATAMF,4.6,4.8,4.6,4.8,4.7,4.8,48,3.153,"671,001"
81,2/20/2020,1JANATAMF,4.7,4.9,4.7,4.9,4.8,4.9,52,3.856,"799,132"
82,2/19/2020,1JANATAMF,4.8,4.9,4.7,4.7,4.9,4.8,62,3.495,"715,868"
83,2/18/2020,1JANATAMF,4.8,4.9,4.7,4.8,4.8,4.7,102,3.85,"802,336"
84,2/17/2020,1JANATAMF,4.7,4.8,4.7,4.8,4.7,4.8,32,0.545,"115,899"
85,2/16/2020,1JANATAMF,4.8,4.8,4.7,4.7,4.8,4.7,51,1.051,"219,560"
86,2/13/2020,1JANATAMF,4.8,4.9,4.7,4.8,4.7,4.8,54,2.115,"448,197"
87,2/12/2020,1JANATAMF,4.8,4.8,4.6,4.6,4.8,4.6,70,3.248,"688,236"
88,2/11/2020,1JANATAMF,4.6,4.7,4.5,4.6,4.6,4.5,70,2.327,"504,338"
89,2/10/2020,1JANATAMF,4.5,4.6,4.5,4.5,4.5,4.5,18,0.991,"220,297"
90,2/9/2020,1JANATAMF,4.5,4.6,4.5,4.5,4.5,4.5,38,3.203,"710,204"
91,2/6/2020,1JANATAMF,4.5,4.6,4.5,4.5,4.5,4.5,40,1.636,"356,889"
92,2/5/2020,1JANATAMF,4.5,4.6,4.5,4.5,4.5,4.5,50,2.457,"546,099"
93,2/4/2020,1JANATAMF,4.4,4.6,4.4,4.4,4.5,4.4,52,2.417,"538,164"
94,2/3/2020,1JANATAMF,4.5,4.5,4.4,4.4,4.4,4.4,32,1.313,"298,373"
95,2/2/2020,1JANATAMF,4.5,4.5,4.4,4.4,4.4,4.4,8,0.068,"15,401"
96,8/20/2020,1STPRIMFMF,16,16.8,16,16.7,16.1,16.3,457,16.278,"999,800"
97,8/19/2020,1STPRIMFMF,16,18.1,15.9,18,16.3,17.3,696,25.037,"1,471,069"
98,8/18/2020,1STPRIMFMF,17.6,18,16.6,16.6,17.3,16.6,657,25.86,"1,475,909"
99,8/17/2020,1STPRIMFMF,16.4,17.5,16.1,17.4,16.6,17.2,743,30.844,"1,823,154"
100,8/16/2020,1STPRIMFMF,16.9,17.6,16.2,16.2,17.2,16.1,810,39.795,"2,317,554"
101,8/13/2020,1STPRIMFMF,16,16.4,14.8,15.2,16.1,15.1,698,27.709,"1,768,266"
102,8/12/2020,1STPRIMFMF,14.8,15.7,14.7,15.2,15.1,15.2,553,21.868,"1,432,174"
103,8/10/2020,1STPRIMFMF,15.1,16,15.1,15.4,15.2,15.2,481,19.893,"1,286,049"
104,8/9/2020,1STPRIMFMF,15,15.8,14.4,14.7,15.2,14.7,661,29.552,"1,949,695"
105,8/6/2020,1STPRIMFMF,14.3,15.7,14.3,14.7,14.7,14.6,693,25.465,"1,670,068"
106,8/5/2020,1STPRIMFMF,14.6,14.6,13.3,13.4,14.6,13.3,724,29.103,"2,055,153"
107,8/4/2020,1STPRIMFMF,13.4,13.5,13.2,13.4,13.3,13.3,237,8.067,"604,707"
108,8/3/2020,1STPRIMFMF,13.4,13.7,13.2,13.5,13.3,13.4,318,9.521,"712,403"
109,7/30/2020,1STPRIMFMF,13.3,13.7,13.2,13.2,13.4,13.2,293,6.724,"502,133"
110,7/29/2020,1STPRIMFMF,13.3,13.8,13.1,13.8,13.2,13.8,322,8.521,"637,044"
111,7/28/2020,1STPRIMFMF,13.9,14,13.1,13.5,13.8,13.5,315,8.31,"608,118"
112,7/27/2020,1STPRIMFMF,13.5,13.8,13.4,13.6,13.5,13.8,383,9.603,"711,374"
113,7/26/2020,1STPRIMFMF,13.8,14.1,13.5,14,13.8,13.9,256,6.45,"472,018"
114,7/23/2020,1STPRIMFMF,13.8,14.8,13.7,13.9,13.9,13.9,416,12.021,"851,252"
115,7/22/2020,1STPRIMFMF,13.8,14.3,13.7,14.2,13.9,13.9,426,12.33,"883,202"
116,7/21/2020,1STPRIMFMF,14,14,12.9,12.9,13.9,12.8,592,22.928,"1,661,389"
117,7/20/2020,1STPRIMFMF,13,13,12.5,12.5,12.8,12.5,201,5.901,"462,401"
118,7/19/2020,1STPRIMFMF,12.5,13.2,12.4,13.2,12.5,13.1,223,5.067,"401,452"
119,7/16/2020,1STPRIMFMF,13.1,13.5,13.1,13.5,13.1,13.4,179,3.186,"239,767"
120,7/15/2020,1STPRIMFMF,13.5,13.6,12.9,13,13.4,12.9,187,4.093,"308,142"
121,7/14/2020,1STPRIMFMF,12.9,13.4,12.8,13.1,12.9,13.2,173,3.68,"280,361"
122,7/13/2020,1STPRIMFMF,13.3,13.5,13,13.4,13.2,13.3,275,6.327,"478,960"
123,7/12/2020,1STPRIMFMF,13.1,13.8,13.1,13.5,13.3,13.5,330,9.541,"706,891"
124,7/9/2020,1STPRIMFMF,13.4,13.5,12.5,12.5,13.5,12.3,382,9.891,"758,711"
125,7/8/2020,1STPRIMFMF,12.4,12.4,12,12.3,12.3,12.2,134,5.051,"413,561"
126,7/7/2020,1STPRIMFMF,12.2,12.4,12.1,12.1,12.2,12,121,2.927,"239,990"
127,7/6/2020,1STPRIMFMF,12,12.2,11.9,12,12,12,105,2.914,"243,674"
128,7/5/2020,1STPRIMFMF,12,12.3,11.9,12.3,12,12.2,43,2.972,"247,495"
129,7/2/2020,1STPRIMFMF,12.2,12.2,12,12.1,12.2,12,76,1.669,"138,041"
130,6/30/2020,1STPRIMFMF,12,12.1,11.9,11.9,12,11.9,76,1.433,"119,258"
131,6/29/2020,1STPRIMFMF,12,12.1,11.9,11.9,11.9,11.9,96,3.049,"255,420"
132,6/28/2020,1STPRIMFMF,11.9,11.9,11.9,11.9,11.9,11.9,15,0.436,"36,623"
133,6/25/2020,1STPRIMFMF,0,0,0,0,11.9,11.9,0,0,0
134,6/24/2020,1STPRIMFMF,11.9,11.9,11.9,11.9,11.9,11.9,6,0.062,"5,230"
135,6/23/2020,1STPRIMFMF,11.9,11.9,11.9,11.9,11.9,11.9,1,0.024,"2,000"
136,6/22/2020,1STPRIMFMF,0,0,0,0,11.9,11.9,0,0,0
137,6/21/2020,1STPRIMFMF,11.9,11.9,11.9,11.9,11.9,11.9,1,0.012,"1,000"
138,6/18/2020,1STPRIMFMF,11.9,11.9,11.9,11.9,11.9,11.9,28,0.774,"65,053"
139,6/17/2020,1STPRIMFMF,12,12,11.9,12,11.9,12,30,0.436,"36,512"
140,6/16/2020,1STPRIMFMF,12,12,11.9,11.9,12,11.9,29,0.381,"31,851"
141,6/15/2020,1STPRIMFMF,11.9,12.4,11.9,12.4,11.9,12.3,47,0.897,"75,280"
